 Death Offering,死亡奉献
Runic Boon,符文赐福
Salt and Scale,盐皮鳞骨
Sanguimancy,血术
Seal gain frequency,灵记获取频率
Searching Gaze of the Lich,妖巫之勘查凝视
Serpent's Price,毒蛇的代价
Sinner Saint,罪人之圣
Soul Splitting,灵魂分裂
That didn't happen!,根本没这回事！
The King's Contempt,王之蔑视
The King's Heritage,王之遗赠
The King's Might,王之威能
The Primal Owl,原始猫头鹰
The Unseen Hand,无形之手
The Vivid Cat,鲜活猎豹
The Wild Bear,荒野巨熊
Tide Caller,浪潮呼唤者
Toad's Price,蟾蜍的代价
Totem Damage and Life ,图腾伤害与生命
Tul of the Blizzard,暴雪之托沃
Umbral Army,暗影军团
Unlight Silhouette,暗蚀剪影
Vaal Souls,瓦尔之灵
Velka Bloodline,维尔卡血裔
Vivid Wisps found,鲜明灵尘发现量
Volatile Runes,不稳定符文
Warcry Speed,战吼速度
Ward,结界
Warden of the Maji,玛吉守望者
Warlock Power,术士之力
Warlock of the Mists,迷雾术士
Wild Will,狂野意志
Wild Wisps found,荒野灵尘发现量
Wildwood Blessing,荒林祝福
Wildwood Primalist,荒林原始使
You're the crazy one!,你才疯了！
+1 Ring Slot,+1 戒指栏
+10% to Cold Resistance,+10% 冰霜抗性
+2 to Level of all Cold Skill Gems if at least 4 Foulborn Unique Items are Equipped,若至少装备了 4 件秽生传奇物品，所有冰霜技能宝石等级 +2
+2 to Level of all Lightning Skill Gems if at least 4 Foulborn Unique Items are Equipped,若至少装备了 4 件秽生传奇物品，所有闪电技能宝石等级 +2
+20 to Maximum Rage,怒火上限 +20
+30 to Intelligence,+30 智慧
+50% to all Elemental Resistances if you have an Equipped Helmet with no Socketed Gems,若装备的头盔没有插槽内的宝石，所有元素抗性 +50%
+8% to Damage over Time Multiplier,+8% 持续伤害加成
-6 Maximum Life per Level,每级最大生命 -6
10% chance to Avoid non-Damaging Ailments on you per Bark below maximum,每层低于上限的树皮使你有 10% 的几率避免非伤害型异常状态
10% increased Defences per Raised Spectre,每个复苏的灵体使防御提高 10%
10% increased Effect of Cold Ailments,冰霜异常状态效果提高 10%
10% increased Effect of your Curses,你所施放诅咒的效果提高 10%
10% increased Life Recovery rate,生命回复率提高 10%
10% increased Quantity of Primal Wisps found in the Viridian Wildwood,翠绿荒林中发现的原始灵尘数量提高 10%
10% increased Quantity of Vivid Wisps found in the Viridian Wildwood,翠绿荒林中发现的鲜明灵尘数量提高 10%
10% increased Quantity of Wild Wisps found in the Viridian Wildwood,翠绿荒林中发现的荒野灵尘数量提高 10%
10% reduced Duration of Damaging Ailments on you per Bark,每层树皮使你受到的伤害型异常状态持续时间缩短 10%
15% increased Attack Damage per Raised Zombie,每个复苏的魔卫使攻击伤害提高 15%
15% increased Cooldown Recovery Rate,冷却回复速度加快 15%
15% increased Defences,防御提高 15%
15% increased Totem Damage,图腾伤害提高 15%
15% increased Totem Life,图腾的生命提高 15%
15% increased Ward from Equipped Armour Items,已装备防具物品提供的结界提高 15%
2% increased Attack and Cast Speed per Summoned Raging Spirit,每个召唤的怒炎之灵可使攻击和施法速度加快 2%
2% increased Movement Speed per Summoned Phantasm,每个召唤的幻灵使移动速度提高 2%
20% increased Elusive Effect,灵巧效果提高 20%
20% reduced Soul Gain Prevention Duration,阻灵术持续时间缩短 20%
25% increased Chaos Damage,混沌伤害提高 25%
25% increased Cold Damage,冰霜伤害提高 25%
25% increased Lightning Damage,闪电伤害提高 25%
25% increased Maximum Life if you have Equipped Gloves with no Socketed Gems,若装备的手套没有插槽内的宝石，最大生命提高 25%
25% increased Warcry Speed,战吼施法速度加快 25%
25% reduced Effect of Curses on you,你受到的诅咒效果降低 25%
30% faster Restoration of Ward per Enemy Hit taken Recently,近期每次被敌人击中，结界回复速度加快 30%
"30% increased Endurance, Frenzy and Power Charge Duration",耐力球，狂怒球，以及暴击球的持续时间延长 30%
30% increased Freeze Duration on Enemies,敌人被冰冻的持续时间延长 30%
30% increased Movement Speed if you have Equipped Boots with no Socketed Gems,若装备的鞋子没有插槽内的宝石，移动速度提高 30%
"4% increased Attack Speed per Minion, up to a maximum of 80%",每个召唤物使攻击速度加快 4%，上限为 80%
5% chance to Restore your Ward on Hit,5% 的几率击中时恢复你的结界
5% increased Character Size,角色体型增大 5%
50% increased Effect of Auras from your Vaal Skills,你的瓦尔技能光环效果提高 50%
50% increased Effect of your Marks while Elusive,拥有灵巧时，你施加的印记效果提高 50%
50% increased Life Reservation Efficiency of Skills,技能的生命保留效能提高 50%
50% increased effect of Offerings,奉献效果提高 50%
50% less Damage Taken from Damage over Time while you have Unbroken Ward,当你的结界未被打破时，受到的持续伤害总降 50%
6% increased Spell Damage per Summoned Skeleton,每个召唤的魔侍使法术伤害提高 6%
67% of Cold Damage Converted to Chaos Damage,67% 的冰霜伤害转换为混沌伤害
67% of Fire Damage Converted to Chaos Damage,67% 的火焰伤害转换为混沌伤害
67% of Lightning Damage Converted to Chaos Damage,67% 的闪电伤害转换为混沌伤害
70% increased Ward from Equipped Armour Items,已装备防具物品提供的结界提高 70%
8% increased maximum Life,生命上限提高 8%
Action Speed cannot be modified to below Base Value if you have Equipped Boots with no Socketed Gems,若已装备的鞋子上没有镶嵌宝石，则行动速度无法被减速至基础值以下
All other Summoned Totems die when you Summon a Totem,当你召唤图腾时，其他所有已召唤图腾死亡
Anger has 50% increased Aura Effect while at maximum Endurance Charges,满耐力球状态下，愤怒的光环效果提高 50%
Arcane Surge also grants 20% increased Mana Cost Efficiency to you,秘术增强还使你的魔力消耗效率提高 20%
Arcane Surge also grants 20% of Damage taken Recouped as Mana to you,秘术增强还使你将所受伤害的 20% 回收为魔力
Can't use Amulets,无法使用项链
Can't use Belts,无法使用腰带
Cannot be Stunned if you have an Equipped Helmet with no Socketed Gems,若已装备的头盔没有镶嵌宝石，则免疫晕眩
Create Profane Ground instead of Consecrated Ground,创造渎神地面来代替奉献地面
Damage taken bypasses Unbroken Ward if the Hit deals less Damage than 15% of Ward,若击中造成的伤害低于结界值的 15%，则该伤害会穿透未被打破的结界
"Damageable Minions deal 30% increased Damage for each second they have been alive,\nup to a maximum of 150%",可受伤的召唤生物每存活 1 秒，造成的伤害提高 30%，\n最多提高 150%
"Damageable Minions take 5% increased Damage for each second they have been alive,\nup to a maximum of 50%",可受伤的召唤生物每存活 1 秒，受到的伤害提高 5%，\n最多提高 50%
Debuffs on you expire 15% faster,你身上的减益效果消失速度加快 15%
Defences from Equipped Body Armour are doubled if it has no Socketed Gems,若装备的胸甲没有插槽内的宝石，其提供的防御翻倍
Determination has 50% increased Aura Effect while at Minimum Endurance Charges,达到耐力球下限时，坚定的光环效果提高 50%
Discipline has 50% increased Aura Effect while at Minimum Power Charges,达到暴击球下限时，纪律的光环效果提高 50%
"Drop Brine Ground while moving, lasting 4 seconds",移动时留下盐水地面，持续 4 秒
Elemental Ailments cannot be inflicted on you if you have an Equipped Body Armour with no Socketed Gems,若已装备的胸甲没有镶嵌宝石，则免疫元素异常状态
Elemental Hit's Added Damage cannot be replaced this way,元素打击的附加伤害无法通过该方式被替换
Elusive has 50% chance to be removed from you at 100% effect,灵巧效果降低到 100% 时，有 50% 几率从你身上移除
Enemies Pacified by you take 20% increased Damage,被你安抚的敌人受到的伤害提高 20%
Enemies display their Monster Category,敌人会显示其怪物类别
Equip a Wildwood Rucksack which has 20 Inventory Slots,装备一个拥有 20 个物品栏格子的荒林背包
"Flasks adjacent to active Tinctures gain 3 charges when you Hit an\nEnemy with a Melee Weapon, no more than once every second",用近战武器击中敌人时，生效的酊剂相邻药剂获得 3 次充能，\n每秒最多触发一次
Flasks adjacent to applied Tincture have 30% increased Effect when\nused if you've Hit an enemy with a Weapon Recently,近期用武器击中过敌人时，使用已应用酊剂相邻的药剂，\n其效果提高 30%
"Four seconds after each Hit you take, lose Life equal to 40% of the Damage taken from that Hit",每次你被击中后的四秒，损失生命，数值等于该次击中伤害的 40%
Gain 1 Vaal Soul per second,每秒获得 1 个瓦尔之灵
Gain 2 Rage on Attack Hit,攻击击中时获得 2 点怒火
Gain 20 Baryatic Tension per 20 Life Spent on Upfront Costs of Spells,法术的预支生命消耗每支付 20 点生命，获得 20 点重压张力
Gain Maximum Life instead of Maximum Energy Shield from Equipped Armour Items,装备的护甲物品改为提供最大生命，而非最大能量护盾
Grace has 50% increased Aura Effect while at Minimum Frenzy Charges,达到狂怒球下限时，优雅的光环效果提高 50%
Grants Level 1 Embrace Madness Skill,获得 1 级的疯狂之拥技能
Grants Level 20 Affliction Skill,获得 20 级苦难技能
Grants Level 20 Barkskin Skill,获得 20 级树皮术技能
Grants Level 20 Misty Reflection Skill,赋予 20 级迷雾倒影技能
Grants Level 20 Pacify Skill,获得 20 级安抚技能
Grants Level 20 Penance Mark Skill,获得 20 级忏悔烙印技能
Grants Level 20 Ravenous Skill,获得 20 级饕餮技能
Grants Level 20 Summon Dark Effigy Skill,获得 20 级召唤黑暗雕像技能
Hatred has 50% increased Aura Effect while at maximum Frenzy Charges,满狂怒球状态下，憎恨的光环效果提高 50%
Herald Skills and Minions from Herald Skills deal 1% more Damage for every 1% of Maximum Life those Skills Reserve,捷技能和来自先驱技能的召唤物，每保留 1% 最大生命，其伤害总增 1%
Herald Skills deal 20% increased Damage,捷技能造成的伤害提高 20%
Herald Skills have 2% more Buff Effect for every 1% of Maximum Mana they Reserve,捷技能每保留 1% 最大魔力，其增益效果总增 2%
Inflict Barnacles on nearby Enemies every second,每秒对附近敌人施加藤壶
Lose all Rage on reaching Maximum Rage and gain Wild Savagery\nfor 1 second per 10 Rage lost this way,达到最大怒火时失去所有怒火，并且每以此方式失去 10 点怒火，\n获得 1 秒荒野狂暴
Maim you inflict causes Hits against the target to have 20% more Critical Strike Chance,你施加的残废使击中该目标的暴击几率总增 20%
Maximum Baryatic Tension is equal to 30% of maximum Life,重压张力上限等同于最大生命值的 30%
Maximum number of Raised Spectres is 1,复苏的灵体最大数量为 1
Minions affected by Affliction have Onslaught,受苦难影响的召唤生物拥有猛攻
"Minions cannot be Killed, but die 6 seconds after being reduced to 1 Life",召唤物不会被消灭，但在生命降至 1 点后 6 秒死亡
Minions deal 20% increased Damage while you are affected by a Herald,你受捷影响时，召唤生物的伤害提高 20%
Minions deal 20% more Damage while they are on Low Life,召唤生物处于濒血状态时造成的伤害总增 20%
Minions deal 25% increased Damage,召唤生物的伤害提高 25%
Minions deal 80% increased Damage if you have Warcried Recently,若你近期使用了战吼，召唤物造成的伤害提高 80%
Minions have 25% increased maximum Life,召唤生物的最大生命提高 25%
"Non-Cluster, Non-Passage Jewels Socketed in your Passive Skill Tree have no effect",你天赋树上镶嵌的非星团、非通途珠宝无效
Offering Skills have 20% increased Duration,奉献技能的持续时间提高 20%
Offerings Kill affected Damagable targets when Offering Duration expires,奉献效果持续时间结束时，消灭受影响的可伤害目标
Phantasms from Penance Mark grant 50% increased Flask Charges,忏悔烙印产生的幻灵提供的药剂充能提高 50%
Phantasms from Penance Mark have a 50% chance to grant a Vaal Soul when Killed,击败忏悔烙印产生的幻灵时，有 50% 的几率获得一个瓦尔之魂
"Profane Ground you create also affects you and your Allies, granting Chaotic Might",你创造的亵渎地面也会影响你和友军，赋予混沌之力
Profane Ground you create inflicts Malediction on Enemies,你产生的渎神地面会对敌人施加恶语术
Raised Beast Spectres have 3 additional modifiers randomly chosen in each Area,复苏的野兽灵体在每个区域中随机获得 3 个额外词缀
Raised Beast Spectres have Farrul's Farric Presence,复苏的野兽灵体拥有法瑞尔的法里克之灵
Raised Beast Spectres have Farrul's Fertile Presence,复苏的野兽灵体拥有法瑞尔的丰沃之灵
Raised Beast Spectres have Farrul's Wild Presence,复苏的野兽灵体拥有法瑞尔的狂野之灵
Rare and Unique Enemies within 120 metres have Minimap Icons,120 米内的稀有和传奇敌人在小地图上显示图标
Removes all Energy Shield,移除所有能量护盾
Removes all Mana,移除所有魔力
Skills Cost Life instead of Mana,技能消耗生命而非魔力
Skills Reserve Life instead of Mana,技能保留生命而非魔力
Skills Supported by Unleash have 20% increased Seal gain frequency,技能被释出辅助时，其封印获取频率提高 20%
Skills from Equipped Main Hand Weapon are supported by level 1 Cruelty,装备的主手武器上的技能受到 1 级凌厉辅助
"Skills gain Added Chaos Damage equal to 25% of Life Cost, if Life Cost is not higher than the maximum you could spend",如果生命消耗不高于你能够消耗的最大值，技能附加相当于生命消耗 25% 的混沌伤害
Skills gain a Base Life Cost equal to 100% of Base Mana Cost,技能获得等于基础魔力消耗100%的基础生命消耗
Skills supported by Unleash have +3 to maximum number of Seals,技能被释出辅助时 +3 封印数量上限
Skills used by Totems deal 10% more Damage per maximum number of Summoned Totems,图腾使用的技能造成的伤害按召唤图腾数量上限总增 10%
Skills used by Totems have 5% more Area of Effect per maximum number of Summoned Totems,图腾使用的技能的效果区域按召唤图腾数量上限总增 5%
"Spells you cast yourself gain Added Physical Damage equal to 75% of Life Cost, if Life Cost is not higher than the maximum you could spend",若生命消耗不高于你可支付的上限，你亲自施放的法术获得等同其生命消耗 75% 的附加物理伤害
Take 40% less Damage from Hits,受到的击中伤害总降 40%
Take no Extra Damage from Critical Strikes if you have Equipped Gloves with no Socketed Gems,若已装备的手套没有镶嵌宝石，则免疫暴击的额外伤害
Targets affected by Maim you inflict cannot deal Critical Strikes,受到你施加的残废影响的目标无法造成暴击
Tinctures applied to you have 75% increased Effect per empty Flask Slot,每有一个空药剂栏位，你身上生效的酊剂效果提高 75%
Totems have 5% more Life per maximum number of Summoned Totems,图腾的生命按召唤图腾数量上限总增 5%
Trigger Level 20 Summon Spectral Tiger on Critical Strike,暴击时触发 20 级召唤幻影猛虎
Trigger Level 20 Surging Torrent when you cast an Elemental Spell,当你施放元素法术时触发 20 级汹涌洪流
Trigger Level 20 Ward Shatter when your Ward Breaks,你的结界被打破时，触发 20 级结界碎击
Triggers Drowning Domain when Allocated,配置时触发溺亡领域
Unaffected by Bleeding,不受流血影响
Unaffected by Curses,不受诅咒影响
Unaffected by Poison,不受中毒影响
Unholy Might you grant also applies 20% Increased Effect of Withered,你赋予的不洁之力也使死亡凋零效果提高 20%
Unholy Might you grant also causes target's Damage to Penetrate 10% Chaos Resistance,你赋予的不洁之力也使目标的伤害穿透 10% 混沌抗性
Unsealed Spells gain 5% more Damage each time their effects Reoccur,解封的法术每次重复释放时，伤害总增 5%
Utility Flasks are Disabled,功能药剂被禁用
Vaal Skills can store +1 Use,瓦尔技能可储存的使用次数 +1
Vaal Skills deal 1% more Damage per Soul Required,瓦尔技能每需要一个灵魂，伤害总增 1%
Vaal Skills have 20% chance to regain consumed Souls when used,瓦尔技能使用时有 20% 的几率重获被消耗的灵魂
Vaal Skills have 50% increased Area of Effect,瓦尔技能的效果范围扩大 50%
Vaal Skills have 50% increased Skill Effect Duration,瓦尔技能的技能效果持续时间延长 50%
Vaal Skills require 30% less Souls per Use,瓦尔技能每次使用所需灵魂降低 30%
Vaal Skills require 40% increased Souls per Use,瓦尔技能每次施放所需灵魂提高 40%
"When you take a Savage Hit, lose Baryatic Tension to recover that much Life, up to maximum",承受残暴打击时，失去重压张力并回复等量的生命，最高不超过最大值
"While affected by Glorious Madness, inflict Mania on nearby Enemies every second",受疯狂荣光影响时，每秒对周围敌人施加狂热
While you have at least 3 Ghastly Eye Jewels socketed:,当你插上至少 3 颗苍白之凝珠宝时：
While you have at least 3 Hypnotic Eye Jewels socketed:,当你插上至少 3 颗安睡之凝珠宝时：
While you have at least 3 Searching Eye Jewels socketed:,当你插上至少 3 颗锐利之凝珠宝时：
Wrath has 50% increased Aura Effect while at maximum Power Charges,满暴击球状态下， 雷霆的光环效果提高 50%
You gain Added Cold Damage instead of Added Damage of other types if Dexterity exceeds both other Attributes,如果敏捷高于其他两项属性，你获得的附加其他类型伤害将转为获得附加冰霜伤害
You gain Added Lightning Damage instead of Added Damage of other types if Intelligence exceeds both other Attributes,如果智力高于其他两项属性，你获得的附加其他类型伤害将转为获得附加闪电伤害
You have Everlasting Sacrifice if at least 6 Corrupted Items are Equipped,若至少装备了 8 件腐化物品，你将拥有鲜血祭品
You have Sacrifice of Blood if at least 8 Corrupted Items are Equipped,若至少装备了 4 件腐化物品，你将拥有灵魂牧者
You have Shepherd of Souls if at least 4 Corrupted Items are Equipped,若至少装备了 6 件腐化物品，你将拥有永恒献祭
Your Hits against Marked Enemy cannot be Blocked or Suppressed,你对被标记敌人的击中无法被格挡或压制
Your Hits ignore Enemy Monster Cold Resistances if all Equipped Rings are Cryonic Rings,若所有已装备的戒指都是冰凝戒指，你的击中会无视敌人的冰霜抗性
Your Hits ignore Enemy Monster Lightning Resistances if all Equipped Rings are Synaptic Rings,若所有已装备的戒指都是突触戒指，你的击中会无视敌人的闪电抗性
Your Warcries attempt to shake extra items from Corpses,你的战吼会尝试从尸体中震出额外物品
Your Warcries open Chests,你的战吼可以开启宝箱
