"Accuracy Mastery","命中专精"
"+0.3 metres to Melee Strike Range","近战打击范围 +0.3 米"
"Non-Vaal Strike Skills target 1 additional nearby Enemies","非瓦尔打击技能以周围额外 1 名敌人为目标"
"Remove Damaging Ailments when you Change Stance","当你改变姿态时，移除伤害性异常状态"
"Stance Skills have +6 seconds to Cooldown","姿态技能的冷却时间 +6"
"Monsters cannot Block your Attacks","怪物无法格挡你的攻击"
"5% increased Attack Speed per Enemy in Close Range","每有一个近身敌人，攻击速度加快 5%"
"Attack Skills Cost Life instead of 20% of Mana Cost","攻击技能消耗魔力的 20% 改为消耗生命"
"Spell Suppression Mastery","范围法术压制专精"
"Prevent +3% of Suppressed Spell Damage","阻挡被压制的法术伤害 +3%"
"Inflict Fire, Cold and Lightning Exposure on Enemies when you Suppress their Spell Damage","压制敌人的法术伤害时施加火焰曝露、冰霜曝露和闪电曝露"
"Prevent +1% of Suppressed Spell Damage per Hit Suppressed Recently","近期每次被压制的击中可穿透 +1% 的压制法术伤害"
"-2% chance to Suppress Spell Damage per Hit Suppressed Recently","近期每次被压制的击中使法术压制几率提高 -2%"
"Suppressed Spell Damage cannot inflict Elemental Ailments on you","被压制的法术伤害无法对你施加元素异常状态"
"You have Phasing if you have Suppressed Spell Damage Recently","若你近期压制过法术伤害，则获得迷踪效果"
"+8% chance to Suppress Spell Damage while Phasing","拥有迷踪时法术压制几率提高 +8%"
"Chance to Suppress Spell Damage is Lucky","法术压制几率特别幸运"
"Impale Mastery","穿刺专精"
"10% chance on Hitting an Enemy for all Impales on that Enemy to last for an additional Hit","击中敌人时有 10% 的几率使该敌人受到的所有穿刺额外持续一次击中"
"Impale Damage dealt to Enemies Impaled by you ignores Enemy Physical Damage Reduction","对被你穿刺的敌人造成的穿刺伤害忽略敌人的物理伤害减免"
"Call of Steel deals Reflected Damage with 40% increased Area of Effect","钢铁呼唤反射伤害的效果区域扩大 40%"
"Call of Steel has 40% increased Use Speed","钢铁呼唤使用速度加快 40%"
"Call of Steel has +4 to maximum Steel Shards","钢铁呼唤的钢刃碎片数量上限 +4"
"Call of Steel causes 10% increased Reflected Damage","钢铁呼唤反射伤害提高 10%"
"20% increased Effect of Impales you inflict on non-Impaled Enemies","你施加的穿刺效果在没有被穿刺的敌人身上提高 20%"
"20% chance on Hit to remove all Impales from Enemy","击中时有 20% 的几率移除敌人的所有穿刺"
"Impales removed this way multiply their Reflected Damage for this Hit by the number of Hits they have left","以该方式移除的穿刺会将本次击中的反射伤害与剩余的击中次数相乘"
"Blind Mastery","致盲专精"
"40% increased Blind Effect","致盲效果提高40%"
"100% increased Blind duration","致盲的持续时间延长 100%"
"60% increased Critical Strike Chance against Blinded Enemies","对致盲敌人的暴击率提高 60%"
"100% chance to Avoid Blind","100% 几率避免致盲"
"Flask Mastery","药剂专精"
"Life Flasks gain 1 Charges every 3 seconds","生命药剂每 3 秒获得 1 次充能"
"Mana Flasks gain 1 Charges every 3 seconds","魔力药剂每 3 秒获得 1 次充能"
"Remove a random Elemental Ailment when you use a Mana Flask","使用魔力药剂时也会移除 1 个随机元素异常状态"
"Remove a random Non-Elemental Ailment when you use a Life Flask","你使用生命药剂时移除一个随机非元素异常状态"
"25% chance to gain a Flask Charge when you deal a Critical Strike","暴击时有 25% 的几率获得 1 充能"
"Enemies you Kill that are affected by Elemental Ailments","击败受元素异常状态影响的敌人"
"grant 100% increased Flask Charges","提高 100% 药剂充能"
"Recover 4% of Life when you use a Flask","你使用药剂时回复 4% 生命"
"Leech Mastery","偷取专精"
"5% of Leech is Instant","5% 的偷取立即生效"
"40% increased Armour and Evasion Rating while Leeching","偷取时护甲和闪避值提高 40%"
"25% more Damage with Hits against Enemies that cannot have Life Leeched from them","对无法偷取生命的敌人造成的击中伤害总增 25%"
"25% of Damage taken Recouped as Life if Leech was removed by Filling Unreserved Life Recently","近期内填满未保留的生命而移除偷取时，所受伤害的 25% 吸纳为生命"
"100% increased total Recovery per second from Life, Mana, or Energy Shield Leech","从生命偷取、魔力偷取、能量护盾偷取中获得的每秒总恢复量提高 100%"
"25% increased Maximum total Life, Mana and Energy Shield Recovery per second from Leech","偷取的每秒最大生命、魔力和能量护盾总恢复量提高 25%"
"Axe Mastery","斧类专精"
"Enemies Killed by your Hits are destroyed","被你击败的敌人直接被摧毁"
"Bleeding you inflict deals Damage 15% faster","你造成的流血的伤害生效速度加快 15%"
"40% increased Effect of Onslaught on you","你受到的猛攻效果增强 40%"
"30% increased Damage while in Blood Stance","血姿态下，伤害提高 30%"
"15% increased Area of Effect while in Sand Stance","沙姿态下，效果区域扩大 15%"
"10% more Damage with Hits and Ailments against Enemies that are on Low Life","击中和异常状态伤害对低血敌人总增 10%"
"Gain 2 Rage on Hit with Axes","斧类击中时获得 2 点怒火"
"Bleeding Mastery","流血专精"
"Moving while Bleeding doesn't cause you to take extra Damage","流血状态下移动不再承受额外的伤害"
"50% chance to Aggravate Bleeding on targets you Stun with Attacks Hits","攻击击中造成晕眩有 50% 的几率使目标身上的流血效果变为恶性"
"Attack Hits Aggravate any Bleeding on targets which is older than 4 seconds","攻击击中会使目标身上已消减 4 秒的流血效果变为恶性"
"80% increased Critical Strike Chance against Bleeding Enemies","对流血敌人的暴击率提高 80%"
"+3% to Damage over Time Multiplier for Bleeding per Endurance Charge","流血持续伤害加成按照每个耐力球 +3%"
"25% chance to Aggravate Bleeding on targets you Hit with Exerted Attacks","增助攻击的击中有 25% 的几率使目标身上的流血效果变为恶性"
"Bow Mastery","弓类专精"
"Blink Arrow and Mirror Arrow have 100% increased Cooldown Recovery Rate","闪现射击和镜像射击的冷却回复率提高 100%"
"20% increased Area of Effect while wielding a Bow","持弓时效果区域扩大 20%"
"Arrows gain Critical Strike Chance as they travel farther, up to 100% increased Critical Strike Chance","箭矢飞得越远，暴击率越高，暴击率最多提高 100%"
"100% increased Mirage Archer Duration","幻影弓手持续时间延长 100%"
"20% increased bonuses gained from Equipped Quiver","装备箭袋获得的加成提高 20%"
"Increases and Reductions to Projectile Speed also apply to Damage with Bows","对投射物速度的增强与减弱效果也作用于弓类伤害"
"Projectile Mastery","投射物专精"
"Projectiles deal 20% increased Damage with Hits and Ailments for each Enemy Pierced","每穿透一个敌人，投射物的击中和异常状态伤害提高 20%"
"Projectiles deal 20% increased Damage with Hits and Ailments for each time they have Chained","每次敌人被连锁，投射物的击中和异常状态伤害提高 20%"
"1% increased Projectile Damage per 16 Dexterity","投射物伤害按照每 16 点敏捷提高 1%"
"Knock Back Enemies if you get a Critical Strike with Projectile Damage","你的投射物伤害造成暴击时击退敌人"
"15% more Projectile Speed","投射物速度总增 15%"
"15% less Projectile Speed","投射物速度总降 15%"
"Brand Mastery","烙印专精"
"Recover 10% of Mana when a Brand expires while Attached","魔力在烙印附着后消减时恢复 10%"
"Brands have 30% increased Area of Effect if 50% of Attached Duration expired","烙印的效果区域在附着持续时间消减 50% 的情况下扩大 30%"
"Brands Attach to a new Enemy each time they Activate, no more than once every 0.3 seconds","烙印每次启动时都会附着一个新敌人，每 0.3 秒只发生一次"
"Brand Recall has 50% increased Cooldown Recovery Rate","烙印召回冷却回复速度加快 50%"
"You can Cast 2 additional Brands","可以施放 2 个额外烙印"
"40% increased Brand Attachment range","烙印的附着范围扩大 40%"
"Lightning Mastery","闪电专精"
"40% of Physical Damage Converted to Lightning Damage","物理伤害的 40% 转换为闪电伤害"
"60% increased Critical Strike Chance against enemies with Lightning Exposure","对有闪电曝露的敌人的暴击几率提高 60%"
"+15% to Maximum Effect of Shock","最大感电效果+15%"
"Shocks you inflict spread to other Enemies within 1 metre","你造成的感电会扩散给 1 米内的其他敌人"
"Increases and reductions to Maximum Mana also apply to Shock Effect at 30% of their value","对魔力上限的增幅与减弱效果有 30% 也作用于感电效果"
"Lightning Damage of Enemies Hitting you while you're Shocked is Unlucky","当你感电时，敌人击中你的闪电伤害特别不幸"
"Caster Mastery","施法专精"
"Final Repeat of Spells has 40% increased Area of Effect","法术最后一次重复的效果区域扩大 40%"
"Gain a Power Charge each second while Channelling a Spell","持续吟唱法术时，每秒获得一个暴击球"
"6% increased Cast Speed for each different Non-Instant Spell you've Cast Recently","近期每施放一个不同的非瞬发法术，施法速度加快 6%"
"Spells which can gain Intensity have +1 to maximum Intensity","能获得凝聚的法术的最大凝聚 +1"
"Skills supported by Unleash have +1 to maximum number of Seals","技能被释出辅助时 +1 封印数量上限"
"25% chance to open nearby Chests when you Cast a Spell","当你施放法术时，有 25% 的几率打开周围的宝箱"
"Chaos Mastery","混沌专精"
"Recover 1% of Life per Withered Debuff on each Enemy you Kill","你击败的敌人受到的每层死亡凋零使你回复 1% 的生命"
"+1 to Level of all Chaos Skill Gems","所有混沌主动技能石等级 +1"
"Lose 10% of Life and Energy Shield when you use a Chaos Skill","生命和能量护盾在你使用混沌技能时失去 10%"
"+1% to maximum Chaos Resistance","+1% 混沌抗性上限"
"40% of Physical Damage Converted to Chaos Damage","40% 的物理伤害转换为混沌伤害"
"Deal 10% more Chaos Damage to enemies which have Energy Shield","对有能量护盾的敌人造成的混沌伤害总增 10%"
"5% chance when you inflict Withered to inflict up to 15 Withered Debuffs instead","当你造成死亡凋零时有 5% 的几率改为造成最多 15 层死亡凋零减益效果"
"Charge Mastery","充能专精"
"Cannot be Ignited while at maximum Endurance Charges","在耐力球达到上限时不能被点燃"
"Cannot be Chilled while at maximum Frenzy Charges","达到狂怒球数量上限时不能被冰缓"
"Cannot be Shocked while at maximum Power Charges","在暴击球达到上限时不能被感电"
"100% increased Charge Duration","能量球的持续时间提高 100%"
"3% increased Damage per Endurance, Frenzy or Power Charge","每个耐力球、狂怒球、暴击球都使伤害提高 3%"
"Nearby Enemies cannot gain Power, Frenzy or Endurance Charges","周围敌人无法获得暴击，狂怒，或耐力球"
"Mark Mastery","印记专精"
"Marked Enemy cannot Regenerate Life","被标记的敌人无法再生生命"
"Enemies near your Marked Enemy are Blinded","被标记敌人的周围敌人被致盲"
"10% chance to gain a Frenzy Charge when you Hit your Marked Enemy","有 10% 的几率在你击中被标记的敌人时获得一个狂怒球"
"Marked Enemy cannot deal Critical Strikes","被标记的敌人无法造成暴击"
"Your Mark Transfers to another Enemy when Marked Enemy dies","被标记的敌人被击败后，你的印记转移给另一个敌人"
"50% more Accuracy Rating against Marked Enemy","对被标记敌人的命中值总增 50%"
"Claw Mastery","爪类专精"
"Gain 25 Life per Enemy Hit with Main Hand Claw Attacks","主手爪攻击每击中一名敌人获得 25 点生命"
"Gain 25 Mana per Enemy Hit with Off Hand Claw Attacks","副手爪攻击每击中一名敌人获得 25 点魔力"
"Inherent Attack Speed bonus from Dual Wielding is doubled while wielding two Claws","装备两把爪类时，双持的攻击速度加成翻倍"
"60% increased Damage with Claws against Enemies that are on Low Life","爪类对濒血的敌人造成的伤害提高 60%"
"10% of Life Leech is Instant per Equipped Claw","装备的每个爪子使 10% 的生命偷取立即生效"
"50% increased Stealth if you've Hit With a Claw Recently","若你近期用爪击中过，潜行提高 50%"
"Skills Supported by Nightblade have 40% increased Effect of Elusive","被夜刃辅助的技能的灵巧效果提高 40%"
"Cold Mastery","冰霜专精"
"40% of Physical Damage Converted to Cold Damage","40% 的物理伤害转换为冰霜伤害"
"10% Chance to Inflict Cold Exposure on Hit with Cold Damage","用冰霜伤害击中时有 10% 的几率造成冰霜曝露"
"-30% to Fire Resistance","-30% 火焰抗性"
"+1 to Level of all Cold Skill Gems","所有冰霜主动技能石等级 +1"
"+1% to Cold Damage over Time Multiplier for each 4% Overcapped Cold Resistance","每 4% 超量冰霜抗性使冰霜持续伤害加成 +1%"
"Chills from your Hits always reduce Action Speed by at least 10%","你击中造成的冰缓效果总能使行动速度降低至少 10%"
"Enemies permanently take 5% increased Damage for each second they've ever been Frozen by you, up to a maximum of 50%","敌人每受一秒你造成的冻结影响，其受到的伤害永久提高 5%，最多 50%"
"Critical Mastery","暴击专精"
"50% increased Effect of non-Damaging Ailments you inflict with Critical Strikes","你暴击施加的非伤害型异常状态效果提高 50%"
"+25% to Critical Strike Multiplier against Unique Enemies","暴击伤害加成对传奇敌人 +25%"
"Stuns from Critical Strikes have 100% increased Duration","暴击造成的眩晕效果持续时间延长 100%"
"+3 to Level of all Critical Support Gems","所有暴击辅助宝石等级 +3"
"You take 30% reduced Extra Damage from Critical Strikes","受到的暴击伤害降低 30%"
"150% increased Critical Strike Chance against Enemies that are on Full Life","对满血敌人的暴击几率提高 150%"
"Curse Mastery","诅咒专精"
"+20% chance to Ignite, Freeze, Shock, and Poison Cursed Enemies","使被诅咒的敌人陷入点燃、冻结、感电、中毒状态的几率 +20%"
"You take 40% reduced Extra Damage from Critical Strikes by Cursed Enemies","受诅咒的敌人的暴击对你造成的额外伤害降低 40%"
"Non-Cursed Enemies you inflict Non-Aura Curses on are Blinded for 4 seconds","未被诅咒的敌人被你施加非光环诅咒时，被致盲 4 秒"
"Your Curses have 20% increased Effect if 50% of Curse Duration expired","若持续时间耗减了 50%，你的诅咒效果提高 20%"
"Enemies you Curse are Hindered, with 15% reduced Movement Speed","你诅咒的敌人被缓速，移动速度降低 15%"
"Recover 1% of Life when you Curse a Non-Cursed Enemy","当你诅咒一个未被诅咒的敌人时恢复 1% 生命"
"Recover 1% of Mana when you Curse a Non-Cursed Enemy","当你诅咒一个未被诅咒的敌人时恢复 1% 魔力"
"Link Mastery","连接专精"
"Enemies in your Link Beams cannot apply Elemental Ailments","你的羁绊光束中的敌人不能造成元素异常状态"
"Enemies near your Linked targets have Fire, Cold and Lightning Exposure","在你的羁绊对你的羁绊对象周围的敌人施加火焰曝露、冰霜曝露和闪电曝露"
"Links take twice as long to break","羁绊的中断距离变为两倍"
"Link Skills Link to 1 additional random targets","羁绊技能额外与随机 1 个目标产生羁绊"
"Linked targets share Endurance, Frenzy and Power Charges with you","羁绊目标和你共享耐力、狂怒和暴击球"
"Your Movement Speed is equal to the highest Movement Speed among Linked Players","你的移动速度与羁绊玩家中的移动速度最高者相同"
"Dagger Mastery","匕首专精"
"+100% to Critical Strike Multiplier against Enemies that are on Full Life","对满血敌人的暴击伤害提高 +100%"
"Critical Strikes have Culling Strike","暴击拥有终结能力"
"+10% chance to Suppress Spell Damage for each Dagger you're Wielding","法术伤害压制率按照你持握的每把匕首 +10%"
"8% more Damage with Hits and Ailments against Enemies affected by at least 5 Poisons","击中和异常状态伤害对至少有 5 层中毒状态的敌人总增 8%"
"50% increased Projectile Speed while wielding a Dagger","装备匕首时，投射物速度加快 50%"
"Elusive also grants +40% to Critical Strike Multiplier for Skills Supported by Nightblade","灵巧对夜刃辅助的技能的暴击伤害加成 +40%"
"Recovery Mastery","回复专精"
"3% chance to Recover all Life when you Kill an Enemy","当你消灭敌人时有 3% 的几率恢复全部生命"
"Life Recoup Effects instead occur over 3 seconds","生命回收效果改为在 3 秒内生效"
"Every 3 seconds, Consume a nearby Corpse to Recover 10% of Life","每 3 秒消耗附近的一个灵柩，并恢复 10% 的生命"
"Nearby Enemies have 50% reduced Life Regeneration Rate","周围敌人的生命再生速度降低 50%"
"Life Recovery from Regeneration is not applied","生命再生不再回复生命"
"Every 4 seconds, Recover 1 Life for every 0.1 Life Recovery per second from Regeneration","每隔 4 秒，每有 0.1 每秒生命回复来自再生，回复 1 生命"
"Regenerate 50 Life per second","每秒再生 50 生命"
"Damage Over Time Mastery","持续伤害专精"
"30% increased Effect of Cruelty","凌厉效果提高 30%"
"+10% to Damage over Time Multiplier if you've Killed Recently","持续伤害加成在你近期内击败过敌人的情况下 +10%"
"15% increased Duration of Ailments on Enemies","造成的异常状态持续时间延长 15%"
"15% increased Skill Effect Duration","技能效果持续时间延长 15%"
"10% less Damage Taken from Damage over Time","受到的持续伤害总降 10%"
"Dual Wielding Mastery","双持专精"
"+20% Chance to Block Spell Damage while Dual Wielding","双持时法术伤害格挡几率 +20%"
"Dual Wielding does not inherently grant chance to Block Attack Damage","双持武器不给攻击伤害格挡率提供加成"
"+1% to Off Hand Critical Strike Chance while Dual Wielding","副手暴击率在双持武器时 +1%"
"60% increased Damage while wielding two different Weapon Types","伤害在双持两种不同类型的武器时提高 60%"
"20% chance to gain Elusive when you Block while Dual Wielding","有 20% 的几率在你用双持武器格挡时获得灵巧状态"
"+15% Chance to Block Attack Damage if you have not Blocked Recently","攻击伤害格挡率在你近期内没有格挡过敌人的情况下 +15%"
"20% chance to Maim Enemies with Main Hand Hits","有 20% 的几率用主手击中使敌人瘫痪"
"20% chance to Blind Enemies with Off Hand Hits","使用副手击中时，有 20% 的几率致盲敌人"
"Block Mastery","格挡专精"
"+2% to maximum Chance to Block Attack Damage","+2% 攻击伤害格挡几率上限"
"+2% to maximum Chance to Block Spell Damage","+2% 法术伤害格挡几率上限"
"20 Life gained when you Block","在你格挡时获得 20 生命"
"20 Mana gained when you Block","在你格挡时获得 20 魔力"
"+1% Chance to Block Spell Damage per 5% Chance to Block Attack Damage","每 5% 攻击伤害格挡几率使法术伤害格挡几率 +1%"
"Duration Mastery","持续时间专精"
"10% more Skill Effect Duration","技能效果持续时间总增 10%"
"10% less Skill Effect Duration","技能效果持续时间总降 10%"
"Debuffs on you expire 15% faster","你身上的减益效果消失速度加快 15%"
"20% reduced Elemental Ailment Duration on you","自身受到的元素异常状态时间缩短 20%"
"Elemental Mastery","元素专精"
"Exposure you inflict applies at least -18% to the affected Resistance","你施加的曝露效果对受影响的抗性至少 -18%"
"Prevent +60% of Reflected Elemental Damage","Prevent +60% of Reflected Elemental Damage"
"50% reduced Effect of Exposure on you","你受到的曝露效果降低 50%"
"Hits have 15% chance to treat Enemy Monster Elemental Resistance values as inverted","击中有 15% 的几率将敌方怪物的元素抗性视作反转"
"Critical Strikes against you do not inherently inflict Elemental Ailments","对你产生的暴击本身不造成元素异常状态"
"3% chance for Hits to deal 300% of Physical Damage as Extra Damage of a random Element","击中有 3% 的几率额外造成等同于物理伤害 300% 的随机元素伤害"
"Energy Shield Mastery","能量护盾专精"
"Light Radius is based on Energy Shield instead of Life","照亮范围将基于能量护盾的属性"
"30% increased Light Radius","照亮范围扩大 30%"
"10% less Physical Damage Taken while on Full Energy Shield","能量护盾全满时，受到的物理伤害总降 10%"
"50% of your Energy Shield is added to your Stun Threshold","附加相当于能量护盾 50% 的晕眩阈值"
"Regenerate 2% of Energy Shield per second","每秒再生 2% 能量护盾"
"30% of Chaos Damage taken does not bypass Energy Shield","受到的混沌伤害无法穿透能量护盾的 30%"
"100% increased Energy Shield from Equipped Helmet","装备头盔的能量护盾提高 100%"
"Evasion and Energy Shield Mastery","闪避和能量护盾专精"
"30% increased Evasion Rating while you have Energy Shield","闪避值在你有能量护盾时提高 30%"
"20% increased Energy Shield Recovery Rate if you haven't been Hit Recently","能量护盾回复率在你近期内没有被击中的情况下提高 20%"
"20% increased Maximum Energy Shield if both Equipped Left and Right Rings have an Explicit Evasion Modifier","若装备的左右两个戒指都有一个外延闪避词缀，能量护盾上限提高 20%"
"40% increased Energy Shield Recharge Rate if Equipped Amulet has an Explicit Evasion Modifier","若装备的项链有外延闪避词缀，能量护盾充能率提高 40%"
"100% increased Evasion Rating if Energy Shield Recharge has started in the past 2 seconds","如果能量护盾充能在过去 2 秒内开始，闪避值提高 100%"
"1% increased Evasion Rating per 10 Intelligence","每 10 点智慧使闪避值提高 1%"
"Dexterity provides no inherent bonus to Evasion Rating","敏捷不给闪避值提供属性加成"
"Every 4 seconds, Regenerate Energy Shield equal to 1% of Evasion Rating over 1 second","每隔 4 秒，在 1 秒内再生等同 1% 闪避值的能量护盾"
"Evasion Mastery","闪避专精"
"Cannot be Stunned if you haven't been Hit Recently","若你近期内没有被击中，则免疫晕眩"
"40% increased Evasion Rating if you have been Hit Recently","若你近期内被击中，则闪避值提高 40%"
"10% increased Movement Speed if you haven't taken Damage Recently","若你近期内没受到伤害，则移动速度加快 10%"
"30% chance to Avoid being Poisoned","30% 几率避免中毒"
"30% chance to Avoid Bleeding","30% 几率避免致流血"
"30% chance to Avoid being Impaled","有 30% 的几率避免被穿刺"
"+15% chance to Suppress Spell Damage if Equipped Helmet, Body Armour, Gloves, and Boots all have Evasion Rating","若装备的头盔、胸甲、手套和靴子都有闪避值，法术压制几率 +15%"
"100% increased Evasion Rating from Equipped Body Armour","来自你身体护甲的闪避值提高 100%"
"Armour and Evasion Mastery","护甲和闪避专精"
"Defend with 120% of Armour against Projectile Attacks","对投射物攻击以 120% 的护甲防御"
"5% more chance to Evade Melee Attacks","闪避近战攻击的几率总增 5%"
"8% increased Evasion Rating per Frenzy Charge","每个狂怒球提高 8% 闪避值"
"8% increased Armour per Endurance Charge","每有一个耐力球，护甲提高 8%"
"80% increased Stun and Block Recovery","晕眩回复和格挡回复提高 80%"
"Every 4 seconds, Regenerate Life equal to 1% of Armour and Evasion Rating over 1 second","每隔 4 秒，在 1 秒内再生等同 1% 护甲和闪避的生命"
"40% increased Evasion Rating if you have been Hit Recently","若你近期内被击中，则闪避值提高 40%"
"40% increased Armour if you haven't been Hit Recently","如果你最近未被击中，护甲提高 40%"
"Immune to Bleeding if Equipped Helmet has higher Armour than Evasion Rating","若装备头部的护甲高于闪避值，则你免疫流血"
"Immune to Poison if Equipped Helmet has higher Evasion Rating than Armour","若装备头部的闪避值高于护甲，则你免疫中毒"
"Fire Mastery","火焰专精"
"Fire Exposure you inflict applies an extra -5% to Fire Resistance","你施加的火焰曝露使火焰抗性额外 -5%"
"40% of Physical Damage Converted to Fire Damage","40% 的物理伤害转换为火焰伤害"
"Burning Enemies you kill have a 3% chance to Explode, dealing a tenth of their maximum Life as Fire Damage","被你击败的燃烧敌人有 3% 的几率爆炸，造成其生命上限十分之一的火焰伤害"
"+12% to Fire Damage over Time Multiplier","+12% 火焰持续伤害加成"
"50% increased Ignite Duration on you","你被点燃的持续时间延长 50%"
"Regenerate 1 Life per second for each 1% Uncapped Fire Resistance","每 1% 的绝对火焰抗性使你每秒再生 1 生命"
"Critical Strikes do not inherently Ignite","暴击不再造成点燃"
"100% increased Damage with Hits against Ignited Enemies","对点燃敌人的击中伤害提高 100%"
"Life Mastery","生命专精"
"10% more Maximum Life if you have at least 6 Life Masteries allocated","若你分配了至少 6 个生命专精，生命上限总增 10%"
"15% increased maximum Life if there are no Life Modifiers on Equipped Body Armour","若装备的胸甲没有生命词缀，生命上限提高 15%"
"+30 to maximum Life","+30 最大生命"
"You count as on Low Life while at 55% of maximum Life or below","达到或低于生命上限的 55% 时将你视作濒血"
"You count as on Full Life while at 90% of maximum Life or above","达到或高于生命上限的 90% 时将你视作满血"
"Skills Cost Life instead of 15% of Mana Cost","技能消耗魔力的 15% 改为消耗生命"
"Mana Mastery","魔力专精"
"Regenerate 5 Mana per second","每秒再生 5 魔力"
"Recover 10% of Mana over 1 second when you use a Guard Skill","你使用防卫技能时，在 1 秒内回复 10% 魔力"
"10% of Damage taken Recouped as Mana","将所受伤害的10%吸纳为魔力"
"15% increased Mana Cost Efficiency","魔力消耗效率提高 15%"
"10% chance to Recover 10% of Mana when you use a Skill","使用技能时有 10% 的几率回复 10% 魔力"
"12% increased Mana Reservation Efficiency of Skills","技能的魔力保留效能提高 12%"
"Mace Mastery","锤类专精"
"All Damage with Maces and Sceptres inflicts Chill","锤类和短杖的所有伤害都施加冰缓状态"
"20% increased Area of Effect if you've dealt a Critical Strike Recently","效果区域在你近期内造成过暴击的情况下扩大 20%"
"Crush Enemies on hit with Maces and Sceptres","用锤类和短杖击中时碾压敌人"
"12% chance to deal Double Damage with Attacks if Attack Time is longer than 1 second","攻击伤害在攻击时间超过 1 秒的情况下有 12% 的几率翻倍"
"50% increased Stun Duration on Enemies","敌人的晕眩时间延长 50%"
"Hits that Stun Enemies have Culling Strike","造成敌人晕眩的击中带有终结效果"
"Physical Mastery","物理专精"
"Prevent +60% of Reflected Physical Damage","Prevent +60% of Reflected Physical Damage"
"10% more Maximum Physical Attack Damage","物理攻击伤害上限总增 10%"
"Cannot be Stunned by Hits that deal only Physical Damage","不会因仅造成物理伤害的击中而眩晕"
"Hits have 50% chance to ignore Enemy Physical Damage Reduction","击中有 50% 的几率忽略敌方怪物的物理伤害减免"
"40% increased Physical Damage with Skills that Cost Life","用生命施放技能的物理伤害提高 40%"
"+6% to Damage over Time Multiplier for Bleeding per Impale on Enemy","敌人身上的每个穿刺使流血的持续伤害加成 +6%"
"Mine Mastery","地雷专精"
"Each Mine applies 2% increased Damage taken to Enemies near it, up to 10%","每个地雷使它附近敌人受到的伤害提高 2%，最高 10%"
"Each Mine applies 2% reduced Damage dealt to Enemies near it, up to 10%","每个地雷对它附近敌人造成的伤害降低 2%，最低 10%"
"30% increased Effect of Auras from Mines","地雷的光环效果提高 30%"
"Detonate Mines is Triggered while you are moving","当你移动时触发引爆地雷"
"Mines cannot be Damaged","地雷不会受到伤害"
"Regenerate 2.5% of Life per Second if you've Detonated a Mine Recently","近期引爆地雷使你每秒再生 2.5% 生命"
"Minion Offence Mastery","召唤生物斗志专精"
"Minions Hits have 50% chance to ignore Enemy Physical Damage Reduction","召唤生物的击中有 50% 的几率忽略敌人的物理伤害减免"
"Minions Penetrate 8% of Cursed Enemies' Elemental Resistances","召唤生物穿透 8% 被诅咒的敌人的元素抗性"
