"(They will also not be put on cooldown if they remain Usable)","（维持可用状态时，技能不会进入冷却）"
"(This only affects the inherent loss of Rage when you haven't been Hit or gained Rage Recently)","（只影响近期内没有被击中或没有获得怒火时，怒火的固有损耗）"
"(Tinctures periodically inflict Mana Burn on you while active)","（酊剂激活时会周期性地对你造成魔力燃烧）"
"(Unbound Avatar requires 100 Unbound Fury to use and causes you to become Unbound for 10 seconds, which has no effects beyond those listed here)","（不羁化身需要 100 点不羁狂怒才能使用，使你在 10 秒内获得不羁状态，其效果皆已在此列出）"
"(Unholy Might grants 100% of Physical Damage converted to Chaos Damage and 25% chance to apply Withered on Hit)","（不洁之力使 100% 的物理伤害转化为混沌伤害，并且击中时有 25% 的几率施加死亡凋零）"
"(Unlucky things are rolled twice and the worst result used)","(重复判断2次数值，取其中不好的结果生效）"
"(Withered applies 6% increased Chaos Damage Taken, and can be inflicted up to 15 times)","（死亡凋零会使受到的混沌伤害提高 6%，最多造成 15 次)"
"(You are on Low Life if you have 50% of your Maximum Life or less)","（低血为低于生命上限 50% 以下）"
"+0.4 metres to Melee Strike Range","近战打击范围 +0.4 米"
"+1 to Maximum Endurance Charges","耐力球数量上限 +1"
"+1 to maximum Energy Shield per 8 Evasion Rating on Equipped Body Armour","装备胸甲的每 8 闪避值使能量护盾上限 +1"
"+1 to Maximum Frenzy Charges","狂怒球数量上限 +1"
"+1 to maximum number of Summoned Totems","+1 召唤图腾数量上限"
"+1 to Maximum Power Charges","总计消耗 200 点魔力后可以获得 1 个暴击球"
"+1 to Maximum Power Charges and Maximum Endurance Charges","暴击球和耐力球上限 +1"
"+10% to Critical Strike Multiplier per Nearby Enemy, up to +100%","每一个周围的敌人 +10% 攻击暴击伤害加成，最大+100%"
"+2 to Maximum Frenzy Charges","狂怒球数量上限 +2"
"+2 to maximum number of Summoned Golems","召唤魔像的数量上限 +2"
"+2 to maximum number of Summoned Mirage Archers","召唤的幻影弓手数量上限 +2"
"+3 to Maximum Fanatic Charges","狂热球数量上限 +3"
"+3 to Minimum Endurance Charges","耐力球数量下限 +3"
"+3 to Minimum Power Charges","暴击球数量下限 +3"
"+4 to Evasion Rating per 1 Maximum Energy Shield on Equipped Helmet","装备头盔的每 1 点能量护盾上限使闪避值提高 +4"
"+4 to Minimum Endurance Charges","耐力球数量下限 +4"
"+4 to Minimum Power Charges","暴击球数量下限 +4"
"+5 to Maximum Fanatic Charges","狂热球数量上限 +5"
"+50 to Strength and Intelligence","+50 力量和智慧"
"+500 to Accuracy Rating","+500 命中值"
"+60% to Chaos Resistance","+60% 混沌抗性"
"0.5% of Spell Damage Leeched as Life while you have Arcane Surge","拥有秘术增强效果时，法术伤害的 0.5% 转化为生命偷取"
"1.5% of Physical Damage prevented from Hits in the past\n10 seconds is Regenerated as Life per second","每秒再生生命，等同过去 10 秒内阻挡的击中物理伤害的 1.5%"
"1% additional Elemental Damage Reduction per Endurance Charge","每个耐力球使元素伤害额外降低 1%"
"1% additional Physical Damage Reduction per Endurance Charge","每有 1 个耐力球，便获得 1% 额外物理伤害减免"
"1% additional Physical Damage Reduction per Minion, up to 10%","每有 1 个召唤生物，便获得 1% 额外物理伤害减免，最多 10%"
"1% increased Area of Effect per 50 Unreserved Maximum Mana, up to 100%","每 50 点未保留的最大魔力使效果区域扩大 1%，最大 100%"
"1% increased Attack Speed per 150 Accuracy Rating","每 150 点命中值都使攻击速度加快 1%"
"1% increased Critical Strike Chance per point of Strength or Intelligence, whichever is lower","取力量和智慧之间的较低者，每 1 点可使暴击率提高 1%"
"1% more Damage for each different type of Mastery you have Allocated","每配置一种不同类型的专精，伤害总增 1%"
"1% of Damage Dealt by your Minions is Leeched to you as Life","召唤生物造成伤害的 1% 转化为你的生命偷取"
"10% chance to gain a Power Charge on Critical Strike","暴击时有 10% 的几率获得暴击球"
"10% chance to gain an Endurance Charge when you Stun an Enemy","当你晕眩 1 个敌人时，有 10% 的几率获得 1 个耐力球"
"10% increased Damage taken","承受伤害提高 10%"
"10% increased Effect of your Marks per maximum Power Charge","每个最大暴击球使你的印记效果提高 10%"
"10% increased Movement Speed","移动速度加快 10%"
"10% increased Stun Duration on Enemies per Endurance Charge","每个耐力球使敌人被晕眩时间延长 10%"
"10% more Accuracy Rating while wielding a Sword","装备剑类武器时，命中值总增 10%"
"10% more Area of Effect while wielding a Mace or Sceptre","装备锤或短杖时，效果范围总增 10%"
"10% more Attack Damage for each Non-Instant Spell you've Cast in the past 8 seconds, up to a maximum of 30%","你在过去 8 秒内施放的每个非立即施放法术都使攻击伤害总增 10%，最多 30%"
"10% more Critical Strike Chance while wielding a Dagger","装备斧类武器时，对低血敌人造成的击中和异常状态伤害总增 20%"
"10% more Damage if you've Killed Recently","若你近期内有击败敌人，则伤害总增 10%"
"10% more Damage taken from other Enemies near your Marked Enemy","被标记敌人的周围敌人对你造成的伤害总增 10%"
"10% of Damage from Hits is taken from your Sentinel of Radiance's Life before you","击中伤害的 10% 在你承受之前，由你的光辉哨兵的生命承受"
"10% of Damage is taken from Mana before Life","10% 的伤害优先从魔力扣除"
"10% of Leech is Instant while wielding a Claw","装备匕首时，暴击几率总增 10%"
"10% reduced Damage taken from Blinded Enemies","承受来自致盲敌人的伤害降低 10%"
"10% reduced Damage taken while Leeching","偷取时受到的伤害降低 10%"
"100% increased Elusive Effect","灵巧效果提高 100%"
"100% increased Maximum Recovery per Life Leech","从生命偷取中获得的最大总恢复量提高 100%"
"100% increased Totem Duration","图腾的持续时间延长 100%"
"100% increased Totem Placement speed","图腾放置速度增加 100%"
"100% more Elemental Damage while Unbound","不羁期间，元素伤害总增 100%"
"13% chance to gain 50% of Non-Chaos Damage with Hits as Extra Chaos Damage","有 13% 的几率获得额外混沌伤害，其数值等同于非混沌伤害的 50%"
"15% chance to gain a Power Charge on Critical Strike","暴击时有 15% 的几率获得暴击球"
"15% more Chaos Damage","总混沌伤害总增 15%"
"15% more Cold Damage","总冰霜伤害总增 15%"
"15% of Armour also applies to Chaos Damage taken from Hits","对击中时受到的混沌伤害施加15%的护甲效果"
"15% reduced Damage taken from Blinded Enemies","承受来自致盲敌人的伤害降低 15%"
"150% increased Effect of Auras from Mines","地雷的光环效果提高 150%"
"2% more Damage for each different type of Mastery you have Allocated","每配置一种不同类型的专精，伤害总增 2%"
"2% of Damage Leeched as Energy Shield","伤害的 2% 转化为能量护盾偷取"
"20% chance to gain a Power Charge on Non-Critical Strike","非暴击时有 20% 的几率获得一个暴击球"
"20% increased Attack Speed while Leeching","生命偷取时攻击速度加快 20%"
"20% less Damage taken from Marked Enemy","受到被标记敌人的伤害总降 20%"
"20% less Damage taken while there are at least two Rare or Unique Enemies nearby","周围至少有两个稀有或传奇敌人时，受到的伤害总降 20%"
"20% more Area of Effect while wielding a Mace or Sceptre","装备锤或短杖时，效果范围总增 20%"
"20% more Critical Strike Chance while wielding a Dagger","装备匕首时，暴击几率总增 20%"
"20% more Damage while there is at most one Rare or Unique Enemy nearby","若周围最多有一个稀有或传奇敌人，你造成的伤害总增 20%"
"20% more Damage with Hits and Ailments against Enemies that are on Low Life while you are wielding an Axe","装备爪类武器时，10% 的偷取立即生效"
"20% more Damage with Hits and Ailments against Unique Enemies","对抗传奇敌人时，击中和异常状态伤害总增 20%"
"20% of Damage from Hits is taken from your Sentinel of Radiance's Life before you","击中伤害的 20% 在你承受之前，由你的光辉哨兵的生命承受"
"20% of Leech is Instant while wielding a Claw","装备爪类武器时，20% 的偷取立即生效"
"20% of Overkill Damage is Leeched as Life","溢出伤害的 20% 转为生命偷取"
"200% increased Charge Duration","能量球的持续时间提高 200%"
"25% chance that if you would gain Endurance Charges, you instead gain up to maximum Endurance Charges","若你可以获得耐力球，则有 25% 的几率直接获得最大数量的耐力球"
"25% chance to gain an Endurance Charge when you Stun an Enemy","当你晕眩 1 个敌人时，有 25% 的几率获得 1 个耐力球"
"25% chance to inflict Withered for 2 seconds on Hit","击中有 25% 的几率施加死亡凋零，持续 2 秒"
"25% chance to Trigger Level 20 Summon Elemental Relic when you or a nearby Ally Kill an Enemy, or Hit a Rare or Unique Enemy","你或周围友军击败敌人时，或击中稀有或传奇敌人时，有 25% 的几率触发 20 级的召唤元素遗物"
"25% less Damage taken from other Enemies near your Marked Enemy","被标记敌人的周围敌人对你造成的伤害总降 25%"
"25% less Mana Cost of Skills","技能的魔力消耗总降 25%"
"25% more Accuracy Rating while wielding a Sword","装备剑类武器时，命中值总增 25%"
"25% more Damage","伤害总增 25%"
"25% more Damage while there is at most one Rare or Unique Enemy nearby","若周围最多有一个稀有或传奇敌人，你造成的伤害总增 25%"
"27% chance to gain 25% of Non-Chaos Damage with Hits as Extra Chaos Damage","有 27% 的几率获得额外混沌伤害，其数值等同于非混沌伤害的 25%"
"3% increased Attack Speed per Fortification above 20","高于 20 层的每层护体令攻击速度加快 3%"
"3% more Armour and Evasion Rating per Fortification above 20","高于 20 层的每层护体令护甲和闪避值总增 3%"
"3% more Damage per Summoned Totem","每个召唤的图腾都使伤害总增 3%"
"3% of Leech is Instant per maximum Power Charge","每个最大暴击球使 3% 的偷取立即生效"
"30% chance to gain a Power Charge on Non-Critical Strike","非暴击时有 30% 的几率获得一个暴击球"
"30% chance to gain an Endurance Charge when you are Hit","被击中时有 30% 的几率获得耐力球"
"30% chance to take 50% less Area Damage from Hits","有 30% 的几率使受到的范围伤害总降 50%"
"30% increased Area of Effect while you have Arcane Surge","拥有秘术增强时效果区域扩大 30%"
"30% increased effect of Non-Curse Auras from your Skills","你技能的非诅咒类光环效果提高 30%"
"30% increased maximum Mana","魔力上限提高 30%"
"30% increased Movement Speed if you have Equipped Boots with no Socketed Gems","若装备的靴子没有镶嵌宝石，移动速度提高 30%"
"30% increased Reservation Efficiency of Skills","技能的保留效能提高 30%"
"30% increased Warcry Buff Effect","战吼的增益效果提高 30%"
"30% less Damage with Triggered Spells","触发的法术的伤害总降 30%"
"30% less Spell Critical Strike Chance","法术暴击几率总降 30%"
"30% more Damage with Hits and Ailments against Enemies that are on Low Life while you are wielding an Axe","装备斧类武器时，对低血敌人造成的击中和异常状态伤害总增 30%"
"30% of Life Leech is Instant","30% 的生命偷取立即生效"
"33% increased Effect of Herald Buffs on you","你身上的捷增益效果提高 33%"
"33% increased Mana Reservation Efficiency of Herald Skills","捷技能的魔力保留效能提高 33%"
"35% increased Effect of Withered","死亡凋零效果提高 35%"
"35% less Damage taken while there are at least two Rare or Unique Enemies nearby","周围至少有两个稀有或传奇敌人时，受到的伤害总降 35%"
"4% increased Attack and Cast Speed for each corpse Consumed Recently, up to a maximum of 200%","近期内每消耗一具灵柩，都使攻击和施法速度加快 4%，最多 200%"
"4% less Damage taken per Gale Force","每个飓风之力都使受到的伤害总降 4%"
"40% increased Life Regeneration rate","生命再生速度提高 40%"
"40% increased Skill Effect Duration","技能效果持续时间延长 40%"
"40% less Damage with Triggered Spells","触发的法术的伤害总降 40%"
"40% more Damage","伤害总增 40%"
"40% of Physical Damage taken Recouped as Life","将受到的物理伤害的 40% 吸纳为生命"
"45% of Chaos Damage taken as Fire Damage","受到混沌伤害的 45% 视作火焰伤害"
"45% of Chaos Damage taken as Lightning Damage","受到混沌伤害的 45% 视作闪电伤害"
"5% increased Area of Effect per Enemy killed recently, up to 50%","若你近期内有击败敌人，则效果区域扩大 5%，最多 50%"
"5% increased Poison Duration for each Poison you have inflicted Recently, up\nto a maximum of 100%","近期内你施加的每层中毒效果都使中毒持续时间延长 5%，最多可延长 100%"
"5% more Accuracy Rating per Frenzy Charge","每个狂怒球使命中值总增 5%"
"50% chance for Energy Shield Recharge to start when you Suppress Spell Damage","你在压制法术伤害时，有50%几率给能量护盾充能"
"50% chance for Flasks you use to not consume Charges","你使用药剂时有 50% 的几率不消耗次数"
"50% chance for used Retaliation Skills to remain Usable and not consume a Cooldown Use","使用的反击技能有 50% 的几率仍可使用，并且不消耗冷却使用次数"
"50% chance that if you would gain Endurance Charges, you instead gain up to maximum Endurance Charges","若你可以获得耐力球，则有 50% 的几率直接获得最大数量的耐力球"
"50% increased Accuracy Rating","命中值提高 50%"
"50% increased Cooldown Recovery Rate","冷却回复速度加快 50%"
"50% increased Effect of Withered","死亡凋零效果提高 50%"
"50% increased Rage Effect","怒火效果提高 50%"
"50% increased Reservation Efficiency of Skills","技能的保留效能提高 50%"
"50% less Life Recovery from Flasks","药剂的生命回复效果总降 50%"
"50% more Elemental Damage while Unbound","不羁期间，元素伤害总增 50%"
"6% increased Area of Effect per Endurance Charge","每个耐力球使效果区域扩大 6%"
"6% increased Area of Effect per Power Charge","每个暴击球使效果区域扩大 6%"
"6% increased Damage per Power Charge","每个暴击球使伤害提高 6%"
"60% increased Area of Effect while you don't have Convergence","你没有汇聚效果时，效果区域扩大 60%"
"66% increased Effect of Herald Buffs on you","你身上的捷增益效果提高 66%"
"66% increased Mana Reservation Efficiency of Herald Skills","捷技能的魔力保留效能提高 66%"
"7% chance to gain 100% of Non-Chaos Damage with Hits as Extra Chaos Damage","有 7% 的几率获得额外混沌伤害，其数值等同于非混沌伤害的 100%"
"75% increased Effect of your Marks","你的印记技能的效果提高 75%"
"8% increased Damage per Endurance Charge","每个耐力球使伤害提高 8%"
"Action Speed cannot be modified to below Base Value","你的行动速度无法被减速至基础以下"
"All Damage can Ignite","所有伤害均可点燃"
"All Damage can Shock","所有伤害均可感电"
"All Damage from Hits can Poison","所有击中伤害都可以造成中毒状态"
"All Damage with Hits can Chill","所有击中的伤害都有冰缓效果"
"Ancestral Fury","先祖狂怒"
"Arcane Blessing","秘术保佑"
"Arcane Surge also grants 20% more Spell Damage to you","秘术增强也会使你的法术伤害总增 20%"
"Arcane Surge also grants 8% more Spell Damage to you","秘术增强也会使你的法术伤害总增 8%"
"Armour from Equipped Body Armour is doubled","装备身体护甲的护甲翻倍"
"Aspect of Carnage","血肉之章"
"Assassination Style","暗杀风格"
"Augury of Penitence","忏悔之兆"
"Auras from your Skills grant 3% increased Attack and Cast\nSpeed to you and Allies","你技能的光环可使你和周围友军的攻击和施法\n速度加快 3%"
"Avatar of the Wilds","荒野化身"
"Avidity","熟稔"
"Bane of Legends","传奇灾星"
"Banner Skills have 100% increased Duration","旗帜技能的持续时间延长 100%"
"Base Critical Strike Chance for Attacks with Weapons is 8%","基础武器暴击率为 8%"
"Base Spell Critical Strike Chance of Spells is equal to that of Main Hand Weapon","法术的基础法术暴击几率等于主手武器的暴击几率"
"Bastion of Elements","元素堡垒"
"Bastion of Hope","希望壁垒"
"Battlemage","战斗法师"
"Bleeding Enemies you Kill Explode, dealing 20% of\ntheir Maximum Life as Physical Damage","击败流血的敌人时产生爆炸，造成等同其 20% 最大生命的物理伤害"
"Bleeding you inflict is Aggravated","你造成的流血为恶性"
"Blind Enemies on Hit","击中后使敌人致盲"
"Bomb Specialist","炸弹专家"
"Bone Barrier","骸骨屏障"
"Born in the Shadows","生在影中"
"Brand Recall has 100% increased Cooldown Recovery Rate","烙印召回冷却回复速度加快 100%"
"Brands have 100% more Activation Frequency if 75% of Attached Duration expired","若附着持续时间耗减了 75%，则烙印激活频率总增 100%"
"Bringer of Ruin","湮灭使者"
"Brutal Fervour","残暴热情"
"Calculated Risk","精算风险"
"Can Allocate Passives from the Duelist's starting point","可以从决斗者的起点配置天赋"
"Can Allocate Passives from the Marauder's starting point","可以从野蛮人的起点配置天赋"
"Can Allocate Passives from the Ranger's starting point","可以从游侠的起点配置天赋"
"Can Allocate Passives from the Shadow's starting point","可以从暗影刺客的起点配置天赋"
"Can Allocate Passives from the Templar's starting point","可以从圣堂武僧的起点配置天赋"
"Can Allocate Passives from the Witch's starting point","可以从女巫的起点配置天赋"
"Cannot be Blinded","免疫致盲"
"Cannot be Chilled","无法被冰缓"
"Cannot be Frozen","无法被冰冻"
"Cannot be Stunned","免疫晕眩"
"Cannot be Stunned while Leeching","生命偷取时免疫晕眩"
"Cannot Be Stunned while you have Energy Shield","你有能量护盾时不能被眩晕"
"Cannot Summon Mirage Archers while near your Mirage Archers","不能在你的幻影弓手周围召唤幻影弓手"
"Cannot take Reflected Elemental Damage","不会承受反射的元素伤害"
"Cannot take Reflected Physical Damage","不会承受反射的物理伤害"
"Chain Reaction","连锁反应"
"Chance to Block Attack or Spell Damage is Lucky if you've Blocked Recently","若近期格挡过，格挡攻击或法术伤害的几率特别幸运"
"Chills from your Hits always reduce Action Speed by at least 10%","你击中造成的冰缓效果总能使行动速度降低至少 10%"
"Coated Blade","涂抹小刀"
"Commander of Darkness","黑暗统御者"
"Consecrated Ground you create applies 15% increased Damage taken to Enemies","你创造的奉献地面可以使敌人受到的伤害提高 15%"
"Consecrated Ground you create applies 8% increased Damage taken to Enemies","你创造的奉献地面可以使敌人受到的伤害提高 8%"
"Consecrated Ground you create causes Life Regeneration to\nalso Recover Energy Shield for you and Allies","你产生的奉献地面使你和友军再生生命的同时回复能量护盾"
"Conviction of Power","力量定罪"
"Corpse Pact","灵柩契约"
"Crave the Slaughter","屠戮之欲"
"Critical Strikes ignore Enemy Monster Elemental Resistances","造成暴击时无视目标的元素抗性"
"Cursed Enemies you or your Minions Kill have a 20% chance to Explode, dealing a quarter of their maximum Life as Chaos Damage","你或你的召唤生物击败的受诅咒敌人有 20% 的几率爆炸，造成等同该敌人最大生命四分之一的混沌伤害"
"Cursed Enemies you or your Minions Kill have a 50% chance to Explode, dealing a quarter of their maximum Life as Chaos Damage","你或你的召唤生物击败的受诅咒敌人有 50% 的几率爆炸，造成等同该敌人最大生命四分之一的混沌伤害"
"Damage cannot be Reflected","伤害无法被反射"
"Damage of Enemies Hitting you is Unlucky","敌人击中你的伤害特别不幸"
"Damage with Hits is Unlucky","击中伤害特别不幸"
